Wall time,Step,Value
1764190398.3260236,50,27.200624465942383
1764190409.3066158,100,23.284740447998047
1764190420.223022,150,21.066986083984375
1764190431.1252909,200,17.357988357543945
1764190442.0420506,250,14.084854125976562
1764190452.9281635,300,11.69438648223877
1764190463.8462386,350,10.266979217529297
1764190474.7303398,400,9.328338623046875
1764190485.6127393,450,8.376675605773926
1764190496.511934,500,7.896905422210693
1764190507.4269133,550,7.542973518371582
1764190518.3630848,600,7.12153959274292
1764190529.2771115,650,6.779018878936768
1764190540.1937978,700,6.559234142303467
1764190551.1303294,750,6.531436443328857
1764190562.0590117,800,6.439020156860352
1764190572.9918475,850,6.20766544342041
1764190583.9209514,900,5.900412082672119
1764190594.8372004,950,5.74512243270874
1764190605.773212,1000,5.598085880279541
1764190616.6994717,1050,5.54638671875
1764190627.6410222,1100,5.471060276031494
1764190638.5760589,1150,5.334715366363525
1764190649.515161,1200,5.23094367980957
1764190660.4262083,1250,5.128327369689941
1764190671.335621,1300,5.080782890319824
1764190682.2637465,1350,4.94383430480957
1764190693.2017772,1400,4.910075664520264
1764190704.1327088,1450,4.808491230010986
1764190715.0504234,1500,4.793318271636963
1764190725.988105,1550,4.5724568367004395
1764190736.8947427,1600,4.593777179718018
1764190747.822772,1650,4.564239501953125
1764190758.7540445,1700,4.490472793579102
1764190769.6830213,1750,4.399442672729492
1764190780.6015718,1800,4.190308570861816
1764190791.5307553,1850,4.245438575744629
1764190802.4574018,1900,4.422840595245361
1764190813.387004,1950,4.322440147399902
1764190824.3454978,2000,4.117846965789795
1764190835.3006835,2050,4.148707389831543
1764190846.222103,2100,4.044656753540039
1764190857.1536229,2150,3.966383695602417
1764190868.087517,2200,3.983574628829956
1764190879.045956,2250,3.9865200519561768
1764190889.9929345,2300,3.707413911819458
1764190900.9118207,2350,3.831796646118164
1764190911.84465,2400,3.7745096683502197
1764190922.7558835,2450,3.593662977218628
1764190933.6952002,2500,3.670693874359131
1764190944.6294444,2550,3.6892917156219482
1764190955.5587864,2600,3.7510554790496826
1764190966.5157237,2650,3.6301023960113525
1764190977.444646,2700,3.6119043827056885
1764190988.3751614,2750,3.5699262619018555
1764190999.3037271,2800,3.6000020503997803
1764191010.254409,2850,3.5258233547210693
1764191021.2087553,2900,3.3479599952697754
1764191032.1674147,2950,3.5044870376586914
1764191043.1124265,3000,3.351059675216675
1764191054.0583549,3050,3.295125961303711
1764191064.9933302,3100,3.3091471195220947
1764191075.9221966,3150,3.2513842582702637
1764191086.8400357,3200,3.469430446624756
1764191097.7733223,3250,3.1242873668670654
1764191108.705656,3300,3.2878952026367188
1764191119.6079948,3350,3.2025868892669678
1764191130.5955374,3400,3.1886253356933594
1764191141.524977,3450,3.3204736709594727
1764191152.4401221,3500,3.1041817665100098
1764191163.378386,3550,3.2088205814361572
1764191174.2989118,3600,2.9610178470611572
1764191185.2317183,3650,3.109714984893799
1764191196.1563888,3700,2.9356088638305664
1764191207.0838106,3750,3.070950746536255
1764191218.0437508,3800,3.10675048828125
1764191228.9706962,3850,3.1654040813446045
1764191239.9094877,3900,3.0094752311706543
1764191250.8403263,3950,3.0812995433807373
1764191261.80516,4000,2.7801074981689453
1764191272.7427778,4050,2.8765947818756104
1764191283.6831853,4100,2.9976892471313477
1764191294.6080954,4150,2.940631151199341
1764191306.9777448,4200,2.9059898853302
1764191317.9716694,4250,2.888216972351074
1764191328.926355,4300,2.822802782058716
1764191339.867244,4350,2.8547046184539795
1764191350.8093584,4400,2.771031141281128
1764191361.7565465,4450,2.7307491302490234
1764191372.6813622,4500,2.82749605178833
1764191383.6518362,4550,2.816075325012207
